date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:52	185412/185412	---M--	200	added ('OK')	image/jpeg	etag:%222d444-5480672686080%22	https://accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/wishlist-bg-g4-2.jpg	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/wishlist-bg-g4-2.jpg	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:52	142558/142558	---M--	200	added ('OK')	image/jpeg	etag:%2222cde-5481912106580%22	https://accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/puzzle-product-bg2-2.jpg	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/puzzle-product-bg2-2.jpg	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:54	50378/50378	---M--	200	added ('OK')	image/jpeg	etag:%22c4ca-548033b7246c0%22	https://accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/grid-2.jpg	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/grid-2.jpg	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:54	53575/53575	---M--	200	added ('OK')	image/jpeg	etag:%22d147-548009bc2fb80%22	https://accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/view-4.jpg	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/view-4.jpg	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:55	70424/70424	---M-Z	200	added ('OK')	text/css	etag:%2211318-5ff043c4d9c9e-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/fontello.css?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/fontello8a54.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:55	100368/100368	---M--	200	added ('OK')	image/jpeg	etag:%2218810-5481499e4ae80%22	https://accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/footer.jpg	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/footer.jpg	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:55	133444/133444	---M--	200	added ('OK')	image/jpeg	etag:%2220944-547f0dbce3240%22	https://accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/lookbook-1.jpg	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/uploads/2017/02/lookbook-1.jpg	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:56	5563/5563	---M-Z	200	added ('OK')	text/css	etag:%2215bb-5ff043c4d8cfe-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/fontello-custom.css?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/fontello-custom8a54.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:56	64565/64565	---M-Z	200	added ('OK')	text/css	etag:%22fc35-5ff043c4d9c9e-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/animate.css?ver=1.0.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/animate8a54.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:56	1753/1753	---M-Z	200	added ('OK')	text/css	etag:%226d9-5ff043c4d8cfe-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/jquery.isotope.css?ver=1.5.26	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/themes/accessories-shop/css/jquery.isotope57bd.css	(from https://accessories-shop.cmsmasters.net/landing/)
